segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,symbol,qty_multiplier,security_type,weekly,expiry,asset_symbol,underlying_symbol,minimum_lot,asset_type,underlying_type,strike_price,short_name,asset_key,underlying_key,last_trading_date,price_quote_unit,download_date
NSE_EQ,ENVIRO INFRA ENGINEERS L,NSE,INE0LLY01014,EQ,NSE_EQ|INE0LLY01014,1.0,100000.0,27213,1.0,EIEL,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,MARUTI SUZUKI INDIA LTD.,NSE,INE585B01010,EQ,NSE_EQ|INE585B01010,1.0,100000.0,10999,100.0,MARUTI,1.0,NORMAL,,,,,,,,,Maruti Suzuki,,,,,2026-04-17
NSE_EQ,NATIONAL ALUMINIUM CO LTD,NSE,INE139A01034,EQ,NSE_EQ|INE139A01034,1.0,100000.0,6364,5.0,NATIONALUM,1.0,NORMAL,,,,,,,,,National Aluminium,,,,,2026-04-17
NSE_EQ,TRANS & RECTI. LTD,NSE,INE763I01026,EQ,NSE_EQ|INE763I01026,1.0,100000.0,15174,5.0,TARIL,1.0,NORMAL,,,,,,,,,Trans & Recti,,,,,2026-04-17
NSE_EQ,NANDAN DENIM LIMITED,NSE,INE875G01048,EQ,NSE_EQ|INE875G01048,1.0,100000.0,31258,1.0,NDL,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,GOKUL AGRO RESOURCES LTD,NSE,INE314T01033,EQ,NSE_EQ|INE314T01033,1.0,100000.0,14480,1.0,GOKULAGRO,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,KOTAKMAMC - CHEMICAL,NSE,INF174KA1XV0,EQ,NSE_EQ|INF174KA1XV0,1.0,100000.0,759885,1.0,CHEMICAL,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,NAVKAR URBANSTRUCTURE LTD,NSE,INE268H01044,EQ,NSE_EQ|INE268H01044,1.0,100000.0,29146,1.0,NAVKARURB,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,NINTEC SYSTEMS LIMITED,NSE,INE395U01014,EQ,NSE_EQ|INE395U01014,1.0,100000.0,14194,5.0,NINSYS,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,LEMON TREE HOTELS LTD,NSE,INE970X01018,EQ,NSE_EQ|INE970X01018,1.0,100000.0,2606,1.0,LEMONTREE,1.0,NORMAL,,,,,,,,,Lemon Tree Hotels,,,,,2026-04-17
NSE_EQ,KOTAKMAMC - MOMENTUM30,NSE,INF174KA1XS6,EQ,NSE_EQ|INF174KA1XS6,1.0,100000.0,759488,1.0,MOMENTUM30,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,ICICIPRAMC - TOP15IETF,NSE,INF109K1A344,EQ,NSE_EQ|INF109K1A344,1.0,100000.0,757781,1.0,TOP15IETF,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,BRAND CONCEPTS LIMITED,NSE,INE977Y01011,EQ,NSE_EQ|INE977Y01011,1.0,100000.0,7780,1.0,BCONCEPTS,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,KOTAKMAMC - QUALITY30,NSE,INF174KA1WT6,EQ,NSE_EQ|INF174KA1WT6,1.0,100000.0,757946,1.0,QUALITY30,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,SG FINSERVE LIMITED,NSE,INE618R01015,EQ,NSE_EQ|INE618R01015,1.0,100000.0,758853,5.0,SGFIN,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,MANAPPURAM FINANCE LTD,NSE,INE522D01027,EQ,NSE_EQ|INE522D01027,1.0,100000.0,19061,5.0,MANAPPURAM,1.0,NORMAL,,,,,,,,,Manappuram Finance,,,,,2026-04-17
NSE_EQ,JOCIL LIMITED,NSE,INE839G01010,EQ,NSE_EQ|INE839G01010,1.0,100000.0,16927,1.0,JOCIL,1.0,NORMAL,,,,,,,,,Jocil,,,,,2026-04-17
NSE_EQ,SARTHAK METALS LIMITED,NSE,INE017W01010,EQ,NSE_EQ|INE017W01010,1.0,100000.0,6843,1.0,SMLT,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,VINYL CHEMICALS (I) LTD.,NSE,INE250B01029,EQ,NSE_EQ|INE250B01029,1.0,100000.0,16821,1.0,VINYLINDIA,1.0,NORMAL,,,,,,,,,Vinyl Chemicals (India),,,,,2026-04-17
NSE_EQ,SEJAL GLASS LIMITED,NSE,INE955I01044,EQ,NSE_EQ|INE955I01044,1.0,100000.0,7091,5.0,SEJALLTD,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,IOL CHEM AND PHARMA LTD,NSE,INE485C01029,EQ,NSE_EQ|INE485C01029,1.0,100000.0,20413,1.0,IOLCP,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,CENTRUM CAPITAL LIMITED,NSE,INE660C01027,EQ,NSE_EQ|INE660C01027,1.0,100000.0,2454,1.0,CENTRUM,1.0,NORMAL,,,,,,,,,Centrum Capital,,,,,2026-04-17
NSE_EQ,ASPINWALL & CO LTD,NSE,INE991I01015,EQ,NSE_EQ|INE991I01015,1.0,100000.0,17270,1.0,ASPINWALL,1.0,NORMAL,,,,,,,,,Aspinwall & Co,,,,,2026-04-17
NSE_EQ,SHARE IND. SECURITIES LTD,NSE,INE932X01026,EQ,NSE_EQ|INE932X01026,1.0,100000.0,104,1.0,SHAREINDIA,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,VERTOZ LIMITED,NSE,INE188Y01031,EQ,NSE_EQ|INE188Y01031,1.0,100000.0,18863,1.0,VERTOZ,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
